iter	Passed	Remaining
0	1	142
1	2	124
2	4	138
3	5	121
4	6	114
5	7	111
6	8	109
7	9	108
8	10	107
9	11	104
10	12	102
11	13	100
12	14	98
13	15	97
14	16	95
15	18	94
16	19	96
17	21	97
18	22	96
19	24	96
20	25	94
21	26	92
22	27	91
23	28	89
24	29	87
25	30	86
26	31	84
27	32	83
28	34	83
29	35	82
30	36	81
31	37	79
32	38	78
33	39	76
34	40	75
35	41	73
36	42	72
37	43	71
38	44	69
39	45	67
40	45	65
41	46	63
42	46	61
43	47	60
44	48	58
45	48	57
46	49	55
47	50	54
48	50	52
49	51	51
50	52	50
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	56	41
58	57	39
59	58	38
60	58	37
61	59	36
62	59	35
63	60	34
64	61	32
65	61	31
66	62	31
67	63	29
68	64	28
69	64	27
70	65	26
71	66	25
72	66	24
73	67	23
74	67	22
75	68	21
76	69	20
77	69	19
78	70	18
79	71	17
80	72	16
81	72	16
82	73	15
83	74	14
84	74	13
85	75	12
86	75	11
87	76	10
88	77	9
89	77	8
90	78	7
91	79	6
92	79	6
93	80	5
94	80	4
95	81	3
96	81	2
97	82	1
98	82	0
99	83	0
