iter	Passed	Remaining
0	162	162402
1	164	82164
2	166	55434
3	169	42118
4	171	34045
5	173	28679
6	175	24933
7	177	22024
8	179	19740
9	180	17912
10	182	16419
11	184	15164
12	185	14113
13	188	13252
14	190	12500
15	191	11805
16	193	11181
17	194	10635
18	196	10140
19	197	9700
20	199	9298
21	201	8958
22	203	8664
23	205	8362
24	207	8080
25	208	7809
26	209	7563
27	211	7342
28	212	7126
29	214	6932
30	216	6765
31	218	6615
32	220	6456
33	221	6298
34	222	6147
35	224	6007
36	225	5879
37	227	5756
38	228	5636
39	230	5522
40	231	5408
41	232	5302
42	233	5193
43	234	5088
44	235	4987
45	235	4891
46	236	4798
47	237	4709
48	238	4627
49	239	4545
50	240	4467
51	240	4392
52	241	4320
53	242	4252
54	243	4185
55	244	4123
56	245	4063
57	246	4006
58	247	3949
59	248	3893
60	249	3841
61	250	3797
62	251	3746
63	252	3697
64	253	3648
65	254	3601
66	255	3558
67	256	3514
68	256	3466
69	257	3419
70	257	3374
71	258	3330
72	258	3287
73	259	3250
74	260	3212
75	261	3176
76	261	3137
77	262	3099
78	262	3064
79	263	3027
80	263	2992
81	264	2958
82	264	2922
83	265	2889
84	265	2857
85	266	2827
86	266	2796
87	266	2766
88	267	2737
89	267	2709
90	268	2681
91	268	2654
92	269	2627
93	269	2601
94	271	2583
95	271	2559
96	272	2535
97	272	2510
98	273	2487
99	273	2465
100	274	2444
101	275	2424
102	276	2404
103	276	2382
104	277	2361
105	277	2340
106	277	2320
107	278	2300
108	278	2280
109	279	2260
110	279	2241
111	280	2223
112	280	2204
113	281	2186
114	281	2169
115	282	2151
116	282	2134
117	283	2118
118	283	2102
119	284	2086
120	284	2070
121	285	2053
122	285	2038
123	286	2022
124	286	2007
125	287	1992
126	287	1977
127	288	1963
128	288	1950
129	289	1937
130	290	1925
131	290	1912
132	291	1899
133	291	1886
134	292	1873
135	292	1860
136	293	1847
137	293	1835
138	294	1822
139	294	1810
140	295	1798
141	295	1786
142	296	1774
143	296	1763
144	297	1751
145	297	1740
146	298	1729
147	298	1719
148	299	1708
149	299	1698
150	300	1687
151	300	1677
152	301	1667
153	301	1657
154	302	1647
155	302	1637
156	303	1627
157	303	1618
158	304	1609
159	305	1601
160	305	1592
161	306	1582
162	306	1573
163	306	1564
164	307	1555
165	307	1547
166	308	1538
167	308	1529
168	309	1521
169	309	1513
170	310	1505
171	310	1497
172	311	1489
173	312	1481
174	312	1473
175	313	1465
176	313	1457
177	313	1450
178	314	1442
179	314	1434
180	315	1427
181	315	1419
182	316	1412
183	316	1405
184	317	1398
185	317	1391
186	318	1384
187	319	1378
188	320	1373
189	320	1366
190	321	1360
191	321	1353
192	322	1346
193	322	1339
194	322	1333
195	323	1326
196	323	1320
197	324	1314
198	324	1307
199	325	1301
200	325	1295
201	326	1289
202	327	1283
203	327	1277
204	328	1272
205	328	1266
206	328	1260
207	329	1254
208	329	1248
209	330	1243
210	330	1237
211	331	1231
212	331	1226
213	332	1220
214	332	1215
215	333	1210
216	334	1206
217	335	1202
218	335	1197
219	336	1192
220	336	1187
221	337	1181
222	337	1176
223	338	1171
224	338	1166
225	339	1161
226	339	1156
227	340	1151
228	340	1146
229	341	1142
230	341	1137
231	342	1132
232	342	1128
233	343	1123
234	343	1118
235	344	1114
236	344	1109
237	345	1104
238	345	1100
239	346	1095
